quant,L1,L2,a1,a2,b1,b2
31,29.9183064785975,27.950915818947,-6.34815205227063,-0.640851523935598,-0.851825173472695,-2.16493554541055
32,30.3319096403814,28.2581789928725,-6.28052473277824,-0.592178774922847,-0.745616059415699,-2.06105109921424
33,30.7252959392202,28.5433654842976,-6.21779621366458,-0.553225778383054,-0.642819525586198,-1.96492457441874
34,31.1038349082055,28.8293331134404,-6.15747051122271,-0.486067342638008,-0.529486042625327,-1.86683791686881
35,31.4908612198995,29.120699509259,-6.1051004425456,-0.422892247552793,-0.406212772834361,-1.766746618759
36,31.8596184973196,29.3737174272634,-6.04341871233207,-0.393493473505813,-0.307347657762029,-1.68488413262092
37,32.2094323715574,29.6297230606135,-5.99397816599996,-0.357512466922505,-0.239327692551083,-1.59248838020538
38,32.5171048752366,29.8537204843833,-5.9423784193172,-0.299604437927509,-0.131286335913249,-1.5064084512564
39,32.8261933239499,30.0831432100039,-5.89651711321041,-0.225079601320106,-0.011413503621518,-1.42067599703464
40,33.1162896241774,30.3044843244099,-5.84867243882126,-0.201861204261608,0.0494454668507283,-1.34155720079075
41,33.4027371737669,30.5125140229379,-5.80138813187174,-0.175681320515256,0.145934949998479,-1.27296848773013
42,33.6514974600593,30.717185433901,-5.75216351184658,-0.126344193135786,0.248951923091617,-1.19635771154312
43,33.8898125444439,30.9125944661506,-5.70787091638197,-0.0600125639610982,0.302641173431248,-1.1236575355826
44,34.1350506866952,31.0880595930007,-5.66391797714387,-0.0101639355286068,0.398981233705883,-1.04297306928902
45,34.3654028098608,31.3000849598964,-5.61548432023493,0.00375909939468281,0.45228719827541,-0.959669562855024
46,34.5827480082081,31.4705434176677,-5.57960777380806,0.0270158310963826,0.54853677400887,-0.891868729419655
47,34.7971494448679,31.643962729428,-5.5410964130057,0.0663829395139076,0.601924146869287,-0.811546888753841
48,35.0320632855624,31.8026847118776,-5.49973961676733,0.129671685846188,0.690436927197491,-0.751649399429732
49,35.2418365417044,31.9568247055613,-5.45559921860399,0.180028454811243,0.749112673916664,-0.67246044077358
50,35.4515630735158,32.1133249325085,-5.41796434101105,0.200780337583354,0.808889594389611,-0.635488653196638
51,35.6549467688623,32.2684775487856,-5.38480896358685,0.224582867589543,0.857897898904136,-0.55389794581607
52,35.8461763511339,32.4220517978015,-5.3440550951438,0.256472609080012,0.914969350216732,-0.500758441692695
53,36.0350262978869,32.56573699012,-5.30885986679025,0.300199178441955,0.971883958541842,-0.445225045544784
54,36.2218718750767,32.7151866751606,-5.27599421978586,0.354128048693392,1.01626327917415,-0.391988051296854
55,36.3991362165491,32.8559565623928,-5.23579653291795,0.380708150395981,1.04384185438472,-0.351230488044574
56,36.5695696993467,32.9846425350676,-5.20175718478545,0.405021265430504,1.11268385538942,-0.291395111303894
57,36.7403882896717,33.1216532967549,-5.17509088750471,0.433464983921386,1.14729608195765,-0.258842429302502
58,36.9120167152073,33.2546141891368,-5.14721673411124,0.465856905284501,1.20345459284388,-0.255315432533299
59,37.0615396608273,33.3873574738453,-5.1110009928173,0.499733506845686,1.24600414166458,-0.201462801190999
