replicate,generation,date,fish_id,photo_number,unique_id,file,manual_landmarks,facing_direction,car_perc,mel_perc,photo_method,mel_perc_v2
replicate_2,gen_3,20211116,m2-444,IMG_3440.JPG,20211116_IMG_3440,photos/replicate_2/gen_3/color_corrected/20211116-IMG_3440.JPG,FALSE,l,6.92653794160967,1.80981780763876,2,1.80981780763876
replicate_2,gen_3,20211115,m2-426,IMG_3243.JPG,20211115_IMG_3243,photos/replicate_2/gen_3/color_corrected/20211115-IMG_3243.JPG,TRUE,r,9.26193486244055,1.08662934200229,2,1.02642827042321
replicate_2,gen_3,20211117,m2-451,IMG_3510.JPG,20211117_IMG_3510,photos/replicate_2/gen_3/color_corrected/20211117-IMG_3510.JPG,FALSE,l,12.0971730400206,1.38677322993531,2,1.4530455597539
replicate_2,gen_3,20211116,m2-439,IMG_3390.JPG,20211116_IMG_3390,photos/replicate_2/gen_3/color_corrected/20211116-IMG_3390.JPG,TRUE,r,9.11092038168324,1.60246377543293,2,1.65093148886757
replicate_2,gen_3,20211115,m2-433,IMG_3310.JPG,20211115_IMG_3310,photos/replicate_2/gen_3/color_corrected/20211115-IMG_3310.JPG,FALSE,r,7.20408819047817,4.05605713515699,2,3.03815575342324
replicate_2,gen_3,20211117,m2-462,IMG_3639.JPG,20211117_IMG_3639,photos/replicate_2/gen_3/color_corrected/20211117-IMG_3639.JPG,FALSE,l,13.5747352792585,3.42513068492303,2,1.37644475146666
replicate_2,gen_3,20211115,m2-434,IMG_3333.JPG,20211115_IMG_3333,photos/replicate_2/gen_3/color_corrected/20211115-IMG_3333.JPG,FALSE,l,9.69684471024954,2.25407300474325,2,2.0798102701588
replicate_2,gen_3,20211115,m2-429,IMG_3279.JPG,20211115_IMG_3279,photos/replicate_2/gen_3/color_corrected/20211115-IMG_3279.JPG,FALSE,l,6.30331701654675,3.17465532157211,2,3.17465532157211
replicate_2,gen_3,20211115,m2-429,IMG_3281.JPG,20211115_IMG_3281,photos/replicate_2/gen_3/color_corrected/20211115-IMG_3281.JPG,FALSE,r,5.52136505845546,3.09464021076898,2,3.09464021076898
replicate_2,gen_3,20211123,m2-475,IMG_3785.JPG,20211123_IMG_3785,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3785.JPG,FALSE,l,6.1222787555259,2.54712653265493,2,2.54712653265493
