date,sire,dam,nr_offspring
2021/03/15,M3-16,F3-51,7
2021/03/15,M3-59,F3-54,5
2021/03/15,M3-81,F3-59,7
2021/03/15,M3-04,F3-63,12
2021/03/15,M3-78,F3-78,7
2021/03/16,M3-08,F3-62,6
2021/03/16,M3-69,F3-69,8
2021/03/16,M3-29,F3-10,12
2021/03/16,M3-72,F3-39,15
2021/03/17,M3-53,F3-40,11
2021/03/18,M3-76,F3-06,9
2021/03/18,M3-28,F3-08,11
2021/03/18,M3-55,F3-36,7
2021/03/18,M3-58,F3-71,6
2021/03/18,M3-70,F3-74,6
2021/03/18,M3-62,F3-80,6
2021/03/19,M3-18,F3-68,4
2021/03/20,M3-05,F3-46,9
2021/03/20,M3-99,F3-45,9
2021/03/20,M3-74,F3-56,9
2021/03/20,M3-15,F3-65,12
2021/03/20,M3-70,F3-73,11
2021/03/22,M3-90,F3-09,11
2021/03/22,M3-42,F3-24,6
2021/03/22,M3-11,F3-49,9
2021/03/22,M3-61,F3-75,6
2021/03/22,M3-78,F3-77,6
2021/03/23,M3-67,F3-57,9
2021/03/23,M3-15,F3-66,11
2021/03/24,M3-54,F3-35,14
2021/03/24,M3-69,F3-70,9
2021/03/24,M3-18,F3-67,9
2021/03/24,M3-58,F3-72,12
2021/03/25,M3-46,F3-07,11
2021/03/25,M3-94,F3-13,10
2021/03/25,M3-86,F3-18,7
2021/03/26,M3-89,F3-04,8
2021/03/26,M3-24,F3-05,9
2021/03/26,M3-30,F3-11,7
2021/03/29,M3-35,F3-17,12
2021/03/30,M3-06,F3-47,11
2021/03/30,M3-04,F3-64,10
2021/03/31,M3-12,F3-50,10
2021/04/20,M1-316,F1-85,21
2021/04/20,M1-411,F1-115,8
2021/04/22,M1-265,F1-140,7
2021/04/22,M1-193,F1-82,8
2021/04/22,M1-436,F1-103,8
2021/04/23,M1-423,F1-125,7
2021/04/26,M1-447,F1-89,8
2021/04/26,M1-175,F1-93,10
2021/04/26,M1-279,F1-119,14
2021/04/26,M1-136,F1-143,7
2021/04/26,M1-180,F1-151,5
2021/04/27,M1-248,F1-122,13
2021/04/27,M1-445,F1-127,9
2021/04/27,M1-362,F1-131,7
2021/04/27,M1-298,F1-86,12
2021/04/27,M1-214,F1-97,11
2021/04/27,M1-422,F1-87,9
2021/04/27,M1-442,F1-91,18
2021/04/27,M1-378,F1-111,19
2021/04/28,M1-355,F1-94,13
2021/04/28,M1-255,F1-113,7
2021/04/28,M1-187,F1-130,10
2021/04/29,M1-233,F1-121,14
2021/04/29,M1-375,F1-139,8
2021/04/29,M1-376,F1-153,23
2021/04/29,M1-254,F1-105,11
2021/04/29,M1-213,F1-108,5
2021/04/29,M1-411,F1-116,17
2021/04/29,M1-194,F1-124,2
2021/04/30,M1-302,F1-83,19
2021/04/30,M1-266,F1-84,14
2021/04/30,M1-382,F1-88,10
2021/04/30,M1-221,F1-100,3
2021/04/30,M1-209,F1-137,12
2021/04/30,M1-243,F1-147,15
2021/05/03,M1-223,F1-99,9
2021/05/03,M1-213,F1-107,22
2021/05/03,M1-385,F1-117,13
2021/05/03,M1-219,F1-133,13
2021/05/03,M1-124,F1-136,16
2021/05/03,M1-218,F1-138,8
2021/05/03,M1-165,F1-145,2
2021/05/03,M1-243,F1-148,3
2021/05/03,M1-180,F1-152,9
2021/05/03,M1-181,F1-155,13
2021/05/03,M1-364,F1-157,11
2021/05/03,M1-354,F1-81,17
2021/05/04,M1-188,F1-129,10
2021/05/04,M1-365,F1-142,9
2021/05/04,M1-244,F1-159,14
2021/05/04,M1-217,F1-98,13
2021/05/05,M1-260,F1-149,10
2021/05/05,M1-181,F1-156,13
2021/05/05,M1-183,F1-92,13
2021/05/05,M1-254,F1-106,19
2021/05/05,M1-255,F1-114,7
2021/05/05,M1-279,F1-120,13
2021/05/06,M1-261,F1-123,13
2021/05/06,M1-162,F1-126,12
2021/05/06,M1-257,F1-134,6
2021/05/07,M1-364,F1-158,15
2021/05/07,M1-314,F1-96,13
2021/05/10,M1-353,F1-132,10
2021/05/10,M1-299,F1-90,14
2021/05/10,M1-411,F1-115,14
2021/05/11,M1-342,F1-102,11
2021/05/11,M1-238,F1-110,22
2021/05/11,M1-385,F1-118,12
2021/05/12,M1-436,F1-104,16
2021/05/12,M1-342,F1-101,12
2021/05/13,M1-404,F1-95,18
2021/05/13,M1-378,F1-112,17
2021/05/14,M1-433,F1-135,11
2021/05/17,M1-265,F1-140,8
2021/05/17,M1-136,F1-144,5
2021/05/17,M1-316,F1-85,20
2021/05/17,M1-436,F1-103,12
2021/05/18,M1-260,F1-150,17
2021/05/18,M1-244,F1-160,9
2021/05/19,M1-423,F1-125,14
2021/05/20,M1-136,F1-143,14
2021/05/20,M1-180,F1-151,11
2021/05/20,M1-193,F1-82,11
2021/05/21,M1-279,F1-119,11
2021/05/24,M1-187,F1-130,6
2021/05/24,M1-376,F1-154,11
2021/05/24,M1-255,F1-113,10
2021/05/24,M1-382,F1-88,6
2021/05/24,M1-447,F1-89,12
2021/05/24,M1-442,F1-91,18
2021/09/08,M2-396,F2-118,2
2021/09/08,M2-199,F2-124,7
2021/09/09,M2-329,F2-112,6
2021/09/09,M2-335,F2-114,5
2021/09/09,M2-293,F2-123,7
2021/09/10,M2-421,F2-110,8
2021/09/10,M2-151,F2-156,4
2021/09/13,M2-274,F2-85,16
2021/09/13,M2-390,F2-88,9
2021/09/13,M2-225,F2-94,9
2021/09/13,M2-342,F2-131,6
2021/09/13,M2-263,F2-132,5
2021/09/13,M2-336,F2-135,10
2021/09/13,M2-345,F2-136,11
2021/09/13,M2-369 ,F2-138,10
2021/09/13,M2-203,F2-152,8
2021/09/15,M2-279,F2-99,6
2021/09/15,M2-237,F2-130,8
2021/09/15,M2-397,F2-150,12
2021/09/16,M2-198,F2-144,19
2021/09/16,M2-184,F2-158,8
2021/09/17,M2-320,F2-81,25
2021/09/17,M2-266,F2-104,8
2021/09/17,M2-250,F2-122,2
2021/09/17,M2-402,F2-134,5
2021/09/17,M2-405,F2-142,17
2021/09/20,M2-302,F2-83,10
2021/09/20,M2-278,F2-84,14
2021/09/20,M2-393,F2-95,11
2021/09/20,M2-368,F2-96,21
2021/09/20,M2-348,F2-98,9
2021/09/20,M2-104,F2-100,3
2021/09/20,M2-420,F2-126,12
2021/09/20,M2-150,F2-133,11
2021/09/21,M2-419,F2-154,27
2021/09/22,M2-107,F2-102,2
2021/09/22,M2-226,F2-128,13
2021/09/23,M2-391,F2-87,9
2021/09/23,M2-308,F2-92,11
2021/09/23,M2-149,F2-137,10
2021/09/24,M2-326,F2-108,5
2021/09/27,M2-371,F2-82,17
2021/09/27,M2-360,F2-89,11
2021/09/27,M2-266,F2-105,10
2021/09/27,M2-141,F2-140,23
2021/09/28,M2-172,F2-93,20
2021/09/28,M2-107,F2-103,10
2021/09/29,M2-421,F2-111,12
2021/09/29,M2-322,F2-120,16
2021/10/01,M2-125,F2-90,15
2021/10/01,M2-304,F2-106,3
2021/10/01,M2-104,F2-101,13
2021/10/01,M2-297,F2-121,9
2021/10/01,M2-281,F2-127,13
2021/10/01,M2-405,F2-143,20
2021/10/01,M2-343,F2-146,17
2021/10/01,M2-397,F2-151,7
2021/10/04,M2-293,F2-123,12
2021/10/04,M2-345,F2-136,11
2021/10/04,M2-141,F2-141,16
2021/10/04,M2-419,F2-155,18
2021/10/04,M2-304,F2-107,10
2021/10/04,M2-421,F2-110,12
2021/10/04,M2-329,F2-112,11
2021/10/04,M2-268,F2-116,8
2021/10/04,M2-396,F2-118,16
2021/10/05,M2-203,F2-152,10
