sample_id,fish_id,selection,sample_priority,,,
99,M1-914,down_selected,first choice,,,
100,M1-915,down_selected,first choice,,,
101,M1-917,up_selected,first choice,,,
103,M1-859,down_selected,first choice,,,
104,M1-1053,down_selected,first choice,,,
105,M1-864,up_selected,first choice,,,
107,M1-1055,down_selected,first choice,,,
108,M1-1061,down_selected,first choice,,,
109,M1-856,up_selected,first choice,,,
110,M1-855,up_selected,first choice,,,
112,M1-1065,down_selected,first choice,,,
113,M1-1110,up_selected,first choice,,,
114,M1-1113,up_selected,first choice,,,
115,M1-1069,down_selected,first choice,,,
116,M1-1070,down_selected,first choice,,,
119,M1-1077,down_selected,first choice,,,
120,M1-1078,down_selected,first choice,,,
121,M2-1057,up_selected,first choice,,,
123,M2-1076,down_selected,first choice,,,
124,M2-791,down_selected,first choice,,,
125,M2-1063,up_selected,first choice,,,
126,M2-799,up_selected,first choice,,,
127,M2-796,down_selected,first choice,,,
128,M2-803,down_selected,first choice,,,
130,M2-806,up_selected,first choice,,,
131,M2-1077,down_selected,first choice,,,
132,M2-1045,down_selected,first choice,,,
134,M2-814,up_selected,first choice,,,
135,M2-1046,down_selected,first choice,,,
136,M2-1048,down_selected,first choice,,,
137,M2-816,up_selected,first choice,,,
138,M2-1037,up_selected,first choice,,,
139,M2-1049,down_selected,first choice,,,
140,M2-854,down_selected,first choice,,,
142,M2-1044,up_selected,first choice,,,
143,M2-864,down_selected,first choice,,,
144,M2-865,down_selected,first choice,,,
146,M2-851,up_selected,first choice,,,
147,M2-866,down_selected,first choice,,,
148,M2-872,down_selected,first choice,,,
149,M2-852,up_selected,first choice,,,
151,M2-873,down_selected,first choice,,,
152,M2-875,down_selected,first choice,,,
153,M2-860,up_selected,first choice,,,
154,M2-861,up_selected,first choice,,,
155,M2-886,down_selected,first choice,,,
156,M2-887,down_selected,first choice,,,
157,M2-867,up_selected,first choice,,,
158,M2-868,up_selected,first choice,,,
159,M2-889,down_selected,first choice,,,
160,M2-891,down_selected,first choice,,,
161,M2-880,up_selected,first choice,,,
162,M2-882,up_selected,first choice,,,
163,M2-979,down_selected,first choice,,,
164,M2-982,down_selected,first choice,,,
165,M2-903,up_selected,first choice,,,
166,M2-915,up_selected,first choice,,,
167,M2-983,down_selected,first choice,,,
170,M2-829,up_selected,first choice,,,
171,M2-987,down_selected,first choice,,,
173,M2-840,up_selected,first choice,,,
174,M2-842,up_selected,first choice,,,
175,M2-990,down_selected,first choice,,,
176,M2-993,down_selected,first choice,,,
177,M2-845,up_selected,first choice,,,
178,M2-776,up_selected,first choice,,,
179,M2-822,down_selected,first choice,,,
180,M2-830,down_selected,first choice,,,
181,M2-777,up_selected,first choice,,,
182,M2-779,up_selected,first choice,,,
183,M2-831,down_selected,first choice,,,
184,M2-837,down_selected,first choice,,,
185,M2-780,up_selected,first choice,,,
186,M2-785,up_selected,first choice,,,
188,M2-843,down_selected,first choice,,,
190,M2-1017,up_selected,first choice,,,
191,M2-844,down_selected,first choice,,,
192,M2-896,down_selected,first choice,,,
193,M2-1020,up_selected,first choice,,,
194,M2-997,up_selected,first choice,,,
195,M2-898,down_selected,first choice,,,
196,M2-899,down_selected,first choice,,,
200,M2-907,down_selected,first choice,,,
201,M2-1009,up_selected,first choice,,,
202,M2-1010,up_selected,first choice,,,
203,M2-908,up_selected,first choice,,,
204,M2-909,up_selected,first choice,,,
205,M2-1011,up_selected,first choice,,,
206,M2-917,up_selected,first choice,,,
208,M2-912,down_selected,first choice,,,
209,M2-918,up_selected,first choice,,,
212,M2-1008,down_selected,first choice,,,
213,M2-932,up_selected,first choice,,,
214,M2-936,up_selected,first choice,,,
215,M2-920,down_selected,first choice,,,
216,M2-923,down_selected,first choice,,,
217,M2-937,up_selected,first choice,,,
218,M2-939,up_selected,first choice,,,
219,M2-929,down_selected,first choice,,,
220,M2-941,down_selected,first choice,,,
221,M2-943,up_selected,first choice,,,
222,M2-944,up_selected,first choice,,,
223,M2-942,down_selected,first choice,,,
224,M2-947,down_selected,first choice,,,
226,M2-959,up_selected,first choice,,,
228,M2-951,down_selected,first choice,,,
229,M2-964,up_selected,first choice,,,
230,M2-965,up_selected,first choice,,,
231,M2-952,down_selected,first choice,,,
232,M2-955,down_selected,first choice,,,
233,M2-975,up_selected,first choice,,,
235,M2-957,down_selected,first choice,,,
236,M2-968,down_selected,first choice,,,
237,M2-1031,up_selected,first choice,,,
238,M2-1033,up_selected,first choice,,,
239,M2-970,down_selected,first choice,,,
189,M2-1016,up_selected,backup sample,,,
241,M3-890,up_selected,first choice,,,
243,M3-904,down_selected,first choice,,,
244,M3-909,down_selected,first choice,,,
245,M3-900,up_selected,first choice,,,
246,M3-920,up_selected,first choice,,,
247,M3-913,down_selected,first choice,,,
248,M3-916,down_selected,first choice,,,
249,M3-925,up_selected,first choice,,,
250,M3-926,up_selected,first choice,,,
251,M3-917,down_selected,first choice,,,
253,M3-929,up_selected,first choice,,,
255,M3-922,down_selected,first choice,,,
256,M3-933,down_selected,first choice,,,
257,M3-953,up_selected,first choice,,,
258,M3-957,up_selected,first choice,,,
261,M3-964,up_selected,first choice,,,
262,M3-966,up_selected,first choice,,,
263,M3-939,down_selected,first choice,,,
264,M3-942,down_selected,first choice,,,
266,M3-968,up_selected,first choice,,,
267,M3-943,down_selected,first choice,,,
268,M3-945,down_selected,first choice,,,
270,M3-973,up_selected,first choice,,,
271,M3-947,down_selected,first choice,,,
274,M3-996,up_selected,first choice,,,
275,M3-950,down_selected,first choice,,,
276,M3-959,down_selected,first choice,,,
280,M3-980,down_selected,first choice,,,
281,M3-1011,up_selected,first choice,,,
282,M3-1014,up_selected,first choice,,,
283,M3-1002,down_selected,first choice,,,
284,M3-1017,down_selected,first choice,,,
286,M3-1020,up_selected,first choice,,,
288,M3-1029,down_selected,first choice,,,
289,M3-1032,up_selected,first choice,,,
290,M3-1037,up_selected,first choice,,,
291,M3-1030,down_selected,first choice,,,
292,M3-1036,down_selected,first choice,,,
293,M3-1038,up_selected,first choice,,,
294,M3-1041,up_selected,first choice,,,
295,M3-794,down_selected,first choice,,,
296,M3-799,down_selected,first choice,,,
297,M3-1047,up_selected,first choice,,,
298,M3-804,up_selected,first choice,,,
299,M3-806,down_selected,first choice,,,
300,M3-814,down_selected,first choice,,,
301,M3-807,up_selected,first choice,,,
304,M3-816,down_selected,first choice,,,
306,M3-817,up_selected,first choice,,,
307,M3-826,down_selected,first choice,,,
309,M3-818,up_selected,first choice,,,
310,M3-822,up_selected,first choice,,,
311,M3-852,down_selected,first choice,,,
312,M3-855,down_selected,first choice,,,
313,M3-823,up_selected,first choice,,,
314,M3-830,up_selected,first choice,,,
315,M3-864,down_selected,first choice,,,
316,M3-865,down_selected,first choice,,,
317,M3-831,up_selected,first choice,,,
318,M3-832,up_selected,first choice,,,
319,M3-866,down_selected,first choice,,,
320,M3-868,down_selected,first choice,,,
321,M3-835,up_selected,first choice,,,
322,M3-836,up_selected,first choice,,,
323,M3-872,down_selected,first choice,,,
324,M3-876,down_selected,first choice,,,
325,M3-838,up_selected,first choice,,,
326,M3-841,up_selected,first choice,,,
327,M3-877,down_selected,first choice,,,
328,M3-880,down_selected,first choice,,,
329,M3-842,up_selected,first choice,,,
330,M3-845,up_selected,first choice,,,
331,M3-883,down_selected,first choice,,,
332,M3-884,down_selected,first choice,,,
333,M3-846,up_selected,first choice,,,
334,M3-848,up_selected,first choice,,,
335,M3-886,down_selected,first choice,,,
337,M3-851,up_selected,first choice,,,
338,M3-856,up_selected,first choice,,,
339,M3-737,down_selected,first choice,,,
341,M3-859,up_selected,first choice,,,
342,M3-874,up_selected,first choice,,,
343,M3-751,down_selected,first choice,,,
344,M3-752,down_selected,first choice,,,
345,M3-875,up_selected,first choice,,,
346,M3-763,up_selected,first choice,,,
347,M3-757,down_selected,first choice,,,
348,M3-758,down_selected,first choice,,,
349,M3-764,up_selected,first choice,,,
350,M3-766,up_selected,first choice,,,
351,M3-760,down_selected,first choice,,,
352,M3-775,down_selected,first choice,,,
353,M3-767,up_selected,first choice,,,
354,M3-781,up_selected,first choice,,,
355,M3-782,down_selected,first choice,,,
356,M3-783,down_selected,first choice,,,
357,M3-789,up_selected,first choice,,,
359,M3-784,down_selected,first choice,,,
360,M3-786,down_selected,first choice,,,
361,M3-895,up_selected,first choice,,,
