fish_id,car_perc,date.x,sire,dam,date_of_birth,selection,date.y,sample_priority
m3-877,5.01897698380172,20221114,m3-495,f3-203,2022-05-30,down_selected,20221114,first choice
m3-880,12.9179879934031,20221114,m3-519,f3-163,2022-05-30,down_selected,20221114,first choice
m3-883,2.76100753835776,20221114,m3-679,f3-167,2022-05-30,down_selected,20221114,first choice
m3-886,3.45418138114389,20221115,m3-636,f3-211,2022-06-27,down_selected,20221115,first choice
m3-909,2.1753206672832,20221118,m3-604,f3-190,2022-05-30,down_selected,20221118,first choice
m3-913,2.32338813471586,20221118,m3-491,f3-168,2022-05-31,down_selected,20221118,first choice
m3-916,7.23936433074841,20221121,m3-505,f3-204,2022-05-31,down_selected,20221121,first choice
m3-922,1.65556587243631,20221121,m3-730,f3-224,2022-05-31,down_selected,20221121,first choice
m3-933,2.57341723890916,20221123,m3-622,f3-171,2022-06-02,down_selected,20221123,first choice
m3-939,1.0959437299732,20221123,m3-540,f3-179,2022-06-02,down_selected,20221123,first choice
m3-943,4.05477439178,20221123,m3-678,f3-186,2022-06-02,down_selected,20221123,first choice
m3-947,1.91410355845207,20221123,m3-678,f3-187,2022-06-03,down_selected,20221123,first choice
m3-950,2.53924618297578,20221123,m3-705,f3-228,2022-06-03,down_selected,20221123,first choice
m3-959,3.12779914827018,20221125,m3-543,f3-195,2022-06-06,down_selected,20221125,first choice
m3-980,2.49125794751382,20221128,m3-682,f3-219,2022-06-07,down_selected,20221128,first choice
m3-782,12.7892035699189,20221028,m3-705,f3-227,2022-05-19,down_selected,20221028,first choice
m3-942,9.67537186047248,20221123,m3-678,f3-186,2022-06-02,down_selected,20221123,first choice
m3-855,8.96064034543995,20221108,m3-515,f3-208,2022-05-24,down_selected,20221108,first choice
m3-917,8.49896932709276,20221121,m3-505,f3-204,2022-05-31,down_selected,20221121,first choice
m3-784,6.23468675318183,20221028,m3-703,f3-231,2022-05-19,down_selected,20221028,first choice
m3-884,6.1498153000895,20221114,m3-679,f3-167,2022-05-30,down_selected,20221114,first choice
m3-876,5.99894975720574,20221114,m3-495,f3-203,2022-05-30,down_selected,20221114,first choice
m3-864,5.31758714822182,20221108,m3-730,f3-223,2022-05-25,down_selected,20221108,first choice
m3-945,5.07569476203703,20221123,m3-678,f3-187,2022-06-03,down_selected,20221123,first choice
m3-752,4.69257997692298,20221024,m3-543,f3-194,2022-05-17,down_selected,20221024,first choice
m3-758,4.67357701693093,20221027,m3-695,f3-220,2022-05-17,down_selected,20221027,first choice
m3-904,4.38281346715899,20221118,m3-604,f3-190,2022-05-30,down_selected,20221118,first choice
m3-872,4.24106723946226,20221108,m3-701,f3-240,2022-05-26,down_selected,20221108,first choice
m3-1030,4.21967046755565,20221130,m3-518,f3-215,2022-06-13,down_selected,20221130,first choice
m3-742,3.97457006584724,20221024,m3-699,f3-207,2022-05-16,down_selected,,backup sample
m3-888,3.89061625465979,20221115,m3-636,f3-211,2022-06-27,down_selected,,backup sample
m3-949,3.66809826126631,20221123,m3-705,f3-228,2022-06-03,down_selected,,backup sample
m3-827,3.55469980888046,20221102,m3-629,f3-172,2022-05-23,down_selected,,backup sample
m3-1018,3.49375433584086,20221130,m3-680,f3-200,2022-06-10,down_selected,,backup sample
m3-937,3.46153290745289,20221123,m3-540,f3-179,2022-06-02,down_selected,,backup sample
m3-815,3.3189837351722,20221102,m3-680,f3-199,2022-05-20,down_selected,,backup sample
m3-963,3.22741810611229,20221125,m3-543,f3-195,2022-06-06,down_selected,,backup sample
m3-921,3.16476626065218,20221121,m3-730,f3-224,2022-05-31,down_selected,,backup sample
m3-935,3.07707214965473,20221123,m3-622,f3-171,2022-06-02,down_selected,,backup sample
